timestamp_ms,date,open,high,low,close,volume,wall_street_threshold_pct,behavioral_threshold_pct,rsi_14,macd_line,macd_signal,macd_hist,atr_14,atr_14_norm,bb_width,open_norm,high_norm,low_norm,close_norm,volume_norm,bar_index,structure_token_id,wave_degree_id,pattern_type_id,pattern_confidence,correction_or_impulse_type_id,wave_match_confidence,lunar_phase_sin,lunar_phase_cos,lunar_anomalistic_normalized,lunar_node_distance,mercury_retrograde,aspect_jupiter_uranus_intensity,aspect_mars_uranus_intensity,days_to_fomc,days_since_last_fomc,days_to_nfp,high_impact_within_5d,high_impact_within_2d,post_event_window,close_pct_change,asset_timeframe,time_idx
1714694400000.0,2024-05-03,59122.3,63320.5,58848.31,62889.84,33172023048.0,15.35,15.31,47.29972565520537,-1480.847317044936,-1142.613420932245,-338.2338961126911,3209.53891115699,0.05103429919931407,0.13925910419161855,-0.06788870658350503,-0.001700658553893082,-0.07220838246355689,-0.008490364800482795,1.0024707082041113,3516,10,3,6,0.6965,7,1.0,-0.8934718754128359,0.44911914660396046,0.20477322203508255,35.1528985086735,0,0.3782098110579426,0.0,635,999,0,1,1,0,0.015926737927779877,BTC_1D,3516
1714780800000.0,2024-05-04,62891.03,64494.96,62599.35,63891.47,20620477992.0,14.8,14.63,49.76450713850834,-1256.4400654228375,-1165.3787498303636,-91.06131559247387,3115.6868460743476,0.04876530225512651,0.13303278588319334,-0.007025656037962718,0.01829848540972912,-0.011630935306673173,0.008770098184434067,0.6511646018381647,3517,10,3,6,0.6965,7,1.0,-0.7636731533664608,0.6456030629011345,0.1588300651251046,20.68133789094503,0,0.32769139908091305,0.0,634,999,34,0,0,0,0.0021858942985659713,BTC_1D,3517
1714867200000.0,2024-05-05,63892.45,64610.89,62955.3,64031.13,18296164805.0,14.42,14.11,50.1148443554133,-1055.1630441756352,-1143.335608699418,88.17256452378274,3011.394214211894,0.04703015883386556,0.13309552940380542,0.0083040573663081,0.019641953580559594,-0.006485360590912663,0.010492604004847708,0.6018062134834185,3518,10,3,6,0.6965,7,1.0,-0.589458000339014,0.8077990256470547,0.1347621304745959,6.056037548693839,0,0.2771297967788432,0.0,633,999,33,0,0,0,-0.0135743348586852,BTC_1D,3518
1714953600000.0,2024-05-06,64038.31,65494.9,62746.24,63161.95,28697928697.0,14.54,14.21,47.87702446482074,-954.7790184785263,-1105.6242906552395,150.84527217671325,2992.6274846253305,0.047380226301203976,0.13478781152749786,0.011124438653430449,0.03412307409677997,-0.009276529976924375,-0.0027127318318356506,0.9664357152310938,3519,10,3,6,0.6965,7,1.0,-0.3808337446413367,0.9246435307416893,0.13727850722594964,8.648175262121043,0,0.22652798618863257,0.0,632,999,32,0,0,0,-0.013095384167208235,BTC_1D,3519
1715040000000.0,2024-05-07,63162.76,64390.46,62285.98,62334.82,25930730982.0,14.5,14.1,45.781939396076304,-931.2317730636641,-1070.7457871369245,139.51401407326034,2929.188378580664,0.04699120617626976,0.13394086471914154,-0.0035323518524336245,0.0158360755505292,-0.01736459896359251,-0.01659408988616265,0.897400551976331,3520,10,3,6,0.6965,7,1.0,-0.15114212528208862,0.9885120423976702,0.1687651489697296,23.33629772739169,0,0.17588913682462248,0.0,631,999,31,0,0,0,-0.018398705570979335,BTC_1D,3520
1715126400000.0,2024-05-08,62332.64,62986.09,60877.13,61187.94,26088172222.0,14.55,14.07,42.9738698213073,-993.6597514643945,-1055.3285800024184,61.668828538023945,2870.600637253474,0.04691448408384845,0.1401498892104375,-0.014821830614109889,-0.004493940205726624,-0.03782641821577186,-0.03291401234259156,0.9186146148902072,3521,10,3,6,0.6965,7,1.0,0.08447837443540855,0.9964253129325604,0.22851614507067688,37.898867549929975,0,0.1252165730154745,0.0,630,999,30,0,0,0,0.030431160127306178,BTC_1D,3521
1715212800000.0,2024-05-09,61191.2,63404.91,60648.07,63049.96,25453338161.0,14.07,13.62,48.497137495363226,-882.7095949240611,-1020.804782986747,138.0951880626859,2862.4748774496547,0.04540010616104522,0.13576821546534196,-0.032255559609666536,0.002754467079407896,-0.04084521037495957,-0.0028590997262202514,0.9366067761984785,3522,10,3,6,0.6965,7,1.0,0.31112376997037633,0.9503694017377771,0.31258523463017046,52.225056964455774,0,0.07451377530973347,0.0,629,999,29,0,0,0,-0.0357998641077647,BTC_1D,3522
1715299200000.0,2024-05-10,63055.19,63446.74,60208.78,60792.78,27804954694.0,14.66,14.26,43.05341107652992,-965.7834085186842,-1009.8005080931345,44.0170995744503,2889.295243346108,0.04752694716948473,0.14237843660150362,0.0005479155565810659,0.006760957438401974,-0.04461838387601776,-0.03535158152897792,1.0143538773214122,3523,10,3,6,0.6965,7,1.0,0.5160347887907576,0.8565676253266161,0.41430503226546606,66.22086551650263,0,0.023784547931510636,0.0,628,999,28,0,0,0,1.529786925358323e-05,BTC_1D,3523
1715385600000.0,2024-05-11,60793.36,61451.15,60492.62,60793.71,13842272968.0,14.17,13.58,43.0562472168184,-1019.7894629473085,-1011.7982990639694,-7.991163883339141,2751.3834402499574,0.04525769919700504,0.14275383039016823,-0.03216883283536723,-0.02169680655734567,-0.03695661796869577,-0.03216326083032414,0.5111947872126537,3524,10,3,6,0.6965,7,1.0,0.689806560946593,0.7239937212953121,0.5252877908779378,79.82586975814935,0,0.0,0.0,627,999,27,0,0,0,0.010768877240753927,BTC_1D,3524
1715472000000.0,2024-05-12,60793.5,61818.16,60632.6,61448.39,13800459405.0,13.6,12.89,45.12801683164008,-998.2551812267484,-1009.0896754965253,10.834494269776883,2639.538908803532,0.042955379446125964,0.12817212726168958,-0.027996828308730775,-0.01161394576528157,-0.030569394624621892,-0.017526051710757395,0.5236538580938275,3525,10,3,6,0.6965,7,1.0,0.82666606938863,0.5626928200373209,0.6365990929687289,86.98086924438407,0,0.0,0.0,626,999,26,0,0,0,0.02364683598707784,BTC_1D,3525
